261.46	-40.15	393.93	1
240.38	-49.19	335	1
239.27	-47.61	331.01	1
239.09	-48.54	226.52	1
238.91	-49.47	395.05	1
234.85	-48.33	372.83	1
234.61	-49.23	338.87	1
85.16	70.66	341.85	1
240.54	-48.25	322.04	1
237.82	-47.88	228.14	1
160.67	51.23	271.87	1
82.3	75.56	317.09	1
152.81	52.36	273.36	1
76.17	69.4	170.87	1
236.34	-48.12	261.68	1
87.88	72.24	-1	1
236.12	-49.02	304.24	1
151.01	51.47	166.95	1
65.02	42.17	234.94	1
108.14	58.42	160.07	1
332.8	-67.71	297.63	1
75.75	70.52	258.46	1
152.94	53.38	367.19	1
73.75	69.85	186.84	1
69.45	69.54	333.98	1
319.91	-73.63	-1	1
309.1	-72.7	319.99	1
147.51	47.64	-1	1
147.51	47.64	281.38	1
260.41	-40.75	371.12	1
107.04	66.05	503.62	1
237.62	-48.8	257.35	1
231.8	-48.66	562.45	1
72.41	72.05	301.22	1
84.28	65.12	209.45	1
151.33	50.94	280.01	1
150	47.43	260.41	1
170.14	53.6	390.29	1
257.89	-48.43	266.87	1
88.75	75.44	318.29	1
65.22	41.51	268.65	1
76.75	67.15	258.04	1
73.14	70.96	264.13	1
84.8	44.86	298.53	1
235.21	-52.36	298.85	1
233.53	-52.84	296.72	1
150.91	50.95	154.3	1
68.58	70.64	273.02	1
152.23	52.39	241.62	1
316.57	-73.76	255.29	1
147.71	52.99	169.79	1
89.73	73.12	236.15	1
310.85	-72.94	310.82	1
169.49	52.6	359.06	1
66.28	43.97	415.97	1
160.36	50.18	277.69	1
265.92	-39.63	523.75	1
146.42	46.18	286.14	1
146.42	46.18	-1	1
150.02	51.56	331.44	1
152.7	51.32	222.52	1
71.9	69.15	208.81	1
147.71	52.97	371.78	1
259.07	-39.35	516.17	1
149.99	50.53	322.39	1
65.15	42.46	317.77	1
147.26	52.74	-1	1
147.26	52.74	261.79	1
314.89	-73.09	269.11	1
320.79	-74.33	251.15	1
233.34	-48.51	328.52	1
162.09	51.5	285.86	1
86.38	41.61	356.34	1
338.04	-64.81	298.34	1
91.06	73.75	257.66	1
86.29	65.67	273.34	1
247.22	-50.36	250	1
109.21	59.32	340.85	1
323.74	-71.87	181.58	1
149.98	49.5	297.58	1
149.98	49.5	-1	1
147.22	51.97	255.15	1
238.72	-50.4	402.23	1
226.98	-49.4	251.69	1
64.91	45.33	364.55	1
151.25	48.87	249.6	1
109.43	67.92	294.36	1
342.87	-62.73	271.19	1
341.34	-63.44	255.21	1
108.2	66.99	403.26	1
290.73	-68.85	261.9	1
84.57	45.31	359.56	1
326.42	-71.38	197.69	1
312.32	-73.9	270.12	1
160.08	49.12	296.24	1
88.08	73.32	403.26	1
256.94	-50.96	313.5	1
90.08	65.58	268.59	1
63.58	45.7	356.63	1
255.36	-49.53	380.91	1
